metric,value
accuracy,0.994000
precision,0.978541
recall,0.841328
f1_score,0.904762
roc_auc,0.997176
precision_macro,0.986502
recall_macro,0.920341
f1_macro,0.950832
precision_weighted,0.993924
recall_weighted,0.994000
f1_weighted,0.993781
