perplexity,kl_divergence,runtime_sec,trustworthiness
5,0.8411487208233401,60.263247499999125,0.9489165549493375
10,0.741336346410288,64.90209830000822,0.9840137074564822
15,0.6811361721762862,55.683092300008866,0.9932395583268382
20,0.6400921838796523,54.7633538999944,0.9955448272278514
25,0.5964784131695913,56.277607299998635,0.9968552714990907
30,0.5770714229271315,57.56093530000362,0.9970927149909067
45,0.46754827345516353,143.11661840000306,0.9980474149129644
50,0.44199848258474184,154.10312749999866,0.9982174694725903
60,0.39218953529925377,242.23104530001,0.9984496856326318
70,0.3490386551074517,169.38257300000987,0.9985941075604053
80,0.312239173611296,218.21834669999953,0.998682956612107
90,0.2763231658044006,265.032916199998,0.998710319563523
100,0.25412081015956406,240.82476719999977,0.9987105066250974
