metric,value
accuracy,0.862924
precision,0.510358
recall,0.399655
f1_score,0.448273
roc_auc,0.844649
precision_macro,0.708232
recall_macro,0.668790
f1_macro,0.685007
precision_weighted,0.850963
recall_weighted,0.862924
f1_weighted,0.855769
