threshold,fpr,tpr
inf,0,0
0.974150351677,0,4.42047564318e-05
0.965379478063,0,8.84095128636e-05
0.96496181062,0,0.000132614269295
0.963966764413,7.15650562144e-06,0.000132614269295
0.96342414083,7.15650562144e-06,0.000176819025727
0.963243961325,7.15650562144e-06,0.000221023782159
0.960303099216,7.15650562144e-06,0.000265228538591
0.95994600891,1.43130112429e-05,0.000265228538591
0.958102039455,1.43130112429e-05,0.000309433295023
0.956874856716,1.43130112429e-05,0.000353638051454
0.954118782526,1.43130112429e-05,0.000397842807886
0.95363720433,1.43130112429e-05,0.000442047564318
0.953042847497,1.43130112429e-05,0.00048625232075
0.952379291849,1.43130112429e-05,0.000530457077182
0.952070473821,1.43130112429e-05,0.000574661833613
0.951852722091,1.43130112429e-05,0.000618866590045
0.951747565124,1.43130112429e-05,0.000663071346477
0.951239026645,2.14695168643e-05,0.000663071346477
0.951048654615,2.86260224857e-05,0.000663071346477
0.950298249179,2.86260224857e-05,0.000707276102909
0.948918879989,3.57825281072e-05,0.000707276102909
0.948833252349,3.57825281072e-05,0.00075148085934
0.948539583709,3.57825281072e-05,0.000795685615772
0.948062119214,3.57825281072e-05,0.000839890372204
0.948021393479,3.57825281072e-05,0.000884095128636
0.947438221287,3.57825281072e-05,0.000928299885068
0.947338836172,3.57825281072e-05,0.000972504641499
0.947264216056,3.57825281072e-05,0.00101670939793
0.946847455164,3.57825281072e-05,0.00106091415436
0.946636569818,3.57825281072e-05,0.00110511891079
0.946481822057,3.57825281072e-05,0.00114932366723
0.945506982609,3.57825281072e-05,0.00119352842366
0.945365711569,3.57825281072e-05,0.00123773318009
0.945283779458,3.57825281072e-05,0.00128193793652
0.94516624404,3.57825281072e-05,0.00132614269295
0.944810937799,3.57825281072e-05,0.00137034744939
0.944674652018,4.29390337286e-05,0.00137034744939
0.943861536385,4.29390337286e-05,0.00141455220582
0.943240236309,4.29390337286e-05,0.00145875696225
0.943139090546,5.009553935e-05,0.00145875696225
0.943067736619,5.009553935e-05,0.00150296171868
0.942977869552,5.009553935e-05,0.00154716647511
0.941922154389,5.009553935e-05,0.00159137123154
0.94142248306,5.009553935e-05,0.00163557598798
0.941169218122,5.72520449715e-05,0.00163557598798
0.941103059057,6.44085505929e-05,0.00163557598798
0.94107972207,6.44085505929e-05,0.00167978074441
0.940731794755,6.44085505929e-05,0.00172398550084
0.940451473261,6.44085505929e-05,0.00176819025727
0.940397256666,6.44085505929e-05,0.0018123950137
0.93980974736,6.44085505929e-05,0.00185659977014
0.939767065357,7.15650562144e-05,0.00185659977014
0.939668217605,7.87215618358e-05,0.00185659977014
0.938497328126,7.87215618358e-05,0.00190080452657
0.93823880304,7.87215618358e-05,0.001945009283
0.938021663309,7.87215618358e-05,0.00198921403943
0.938001693742,7.87215618358e-05,0.00203341879586
0.937662796207,7.87215618358e-05,0.00207762355229
0.937466730368,7.87215618358e-05,0.00212182830873
0.937142257803,7.87215618358e-05,0.00216603306516
0.936973421621,7.87215618358e-05,0.00221023782159
0.936948953654,7.87215618358e-05,0.00225444257802
0.93689406138,7.87215618358e-05,0.00229864733445
0.936549546513,7.87215618358e-05,0.00234285209088
0.936509889251,8.58780674572e-05,0.00234285209088
