threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,roc_auc,pr_auc_average_precision,tn,fp,fn,tp
0.05,0.952,0.41025641025641024,0.9411764705882353,0.5714285714285713,0.9523809523809523,0.9467787114845938,0.9842555379639761,0.7807439611753059,1380,69,3,48
0.06,0.9573333333333334,0.44036697247706424,0.9411764705882353,0.6,0.9579020013802623,0.9495392359842487,0.9842555379639761,0.7807439611753059,1388,61,3,48
0.07,0.9593333333333334,0.4528301886792453,0.9411764705882353,0.6114649681528662,0.9599723947550034,0.9505744326716193,0.9842555379639761,0.7807439611753059,1391,58,3,48
0.08,0.9626666666666667,0.4742268041237113,0.9019607843137255,0.6216216216216216,0.9648033126293996,0.9333820484715625,0.9842555379639761,0.7807439611753059,1398,51,5,46
0.09,0.9653333333333334,0.4945054945054945,0.8823529411764706,0.6338028169014085,0.9682539682539683,0.9253034547152195,0.9842555379639761,0.7807439611753059,1403,46,6,45
0.09999999999999999,0.968,0.5172413793103449,0.8823529411764706,0.6521739130434783,0.9710144927536232,0.9266837169650468,0.9842555379639761,0.7807439611753059,1407,42,6,45
0.10999999999999999,0.9686666666666667,0.5232558139534884,0.8823529411764706,0.656934306569343,0.971704623878537,0.9270287825275038,0.9842555379639761,0.7807439611753059,1408,41,6,45
0.12,0.97,0.5357142857142857,0.8823529411764706,0.6666666666666667,0.9730848861283644,0.9277189136524175,0.9842555379639761,0.7807439611753059,1410,39,6,45
0.13,0.9693333333333334,0.5301204819277109,0.8627450980392157,0.6567164179104479,0.9730848861283644,0.9179149920837901,0.9842555379639761,0.7807439611753059,1410,39,7,44
0.13999999999999999,0.972,0.5569620253164557,0.8627450980392157,0.676923076923077,0.9758454106280193,0.9192952543336175,0.9842555379639761,0.7807439611753059,1414,35,7,44
0.14999999999999997,0.972,0.5569620253164557,0.8627450980392157,0.676923076923077,0.9758454106280193,0.9192952543336175,0.9842555379639761,0.7807439611753059,1414,35,7,44
