model,threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,roc_auc,pr_auc_average_precision,tn,fp,fn,tp,train_seconds,selected_threshold,best_iteration,selection
LightGBM From Scratch,0.21999999999999997,0.9753333333333334,0.6129032258064516,0.7450980392156863,0.672566371681416,0.9834368530020704,0.8642674461088784,0.9637342859849116,0.782528053333481,1425,24,13,38,14.956360210000184,0.21999999999999997,195.0,validation
Logistic Regression,0.20999999999999996,0.9633333333333334,0.46296296296296297,0.49019607843137253,0.47619047619047616,0.9799861973775017,0.7350911379044371,0.8993355796424857,0.43453501537488554,1420,29,26,25,0.009387107000293327,0.20999999999999996,,validation
Random Forest,0.4599999999999999,0.9806666666666667,0.7391304347826086,0.6666666666666666,0.7010309278350515,0.9917184265010351,0.8291925465838509,0.9778684420628159,0.7763249641534402,1437,12,17,34,0.560907916999895,0.4599999999999999,,validation
Official LightGBM 4.6.0,0.25999999999999995,0.982,0.7142857142857143,0.7843137254901961,0.7476635514018691,0.9889579020013802,0.8866358137457881,0.9676314970432566,0.8000875049517123,1433,16,11,40,0.16600832699987222,0.25999999999999995,230.0,validation
