feature,gain_importance
Torque [Nm],3327.511739568233
Tool wear [min],1623.6643073966661
Rotational speed [rpm],1420.2618058307635
Air temperature [K],1323.3299847681953
Process temperature [K],805.8777282297293
Type,144.99356661364203
