name,family,value,validation_pr_auc,validation_roc_auc,validation_f1,validation_precision,validation_recall,selected_threshold,best_iteration,train_seconds,efb_applied,n_efb_bundles
selected,ablation,selected,0.7807439611753059,0.9842555379639761,0.7107438016528925,0.6142857142857143,0.8431372549019608,0.21999999999999997,195,14.425299908999932,False,6
no_efb,ablation,no_efb,0.7807439611753059,0.9842555379639761,0.7107438016528925,0.6142857142857143,0.8431372549019608,0.21999999999999997,195,22.740306880999924,False,6
feature_fraction_085,ablation,feature_fraction_085,0.7807439611753059,0.9842555379639761,0.7107438016528925,0.6142857142857143,0.8431372549019608,0.21999999999999997,195,14.855270070999723,False,6
no_regularization,ablation,no_regularization,0.7751787774228548,0.9824896142031687,0.722689075630252,0.6323529411764706,0.8431372549019608,0.20999999999999996,163,12.350326954000138,False,6
no_goss,ablation,no_goss,0.7531906465937153,0.9826587639886851,0.6991869918699186,0.5972222222222222,0.8431372549019608,0.19,178,14.653833138999744,False,6
positive_weight_5,ablation,positive_weight_5,0.7048132025062815,0.9786194671105155,0.6868686868686869,0.7083333333333334,0.6666666666666666,0.6499999999999999,349,22.30564560499988,False,6
