iteration,train_rmse,validation_rmse
1,15.405823124568188,15.405527046702108
2,14.960402660726025,14.955171279378495
3,14.56561299835023,14.552666676512299
4,14.215836716895618,14.203122513511985
5,13.89189362919708,13.879232432754709
6,13.603459443333307,13.587310719275655
7,13.323953153223934,13.309199449721346
8,13.075812538304119,13.06118298649643
9,12.856960467179857,12.838560592197679
10,12.647214103603304,12.624623576799229
11,12.438657765623251,12.420539456480201
12,12.25241712277346,12.23303738801935
13,12.09898154794405,12.080120875160237
14,11.932004431809577,11.913159159456582
15,11.798002602943416,11.78018404660167
16,11.673800424638815,11.65903719372521
17,11.543559988138101,11.529857742787604
18,11.408519231271837,11.395089340555714
19,11.293620410535205,11.279607571226995
20,11.183903000703149,11.169729229929775
21,11.066016123261374,11.057575979106016
22,10.962214701679764,10.956333307328327
23,10.866534192212692,10.862911947335922
24,10.779995303164082,10.777444599844937
25,10.68888585119419,10.690800605244009
26,10.609002101005899,10.612724646636696
27,10.54055585541915,10.545602250891989
28,10.466783948273598,10.473738568354936
29,10.39669806194218,10.408126942070272
30,10.332183574038396,10.344355807794422
31,10.268318308627931,10.283332284412598
32,10.212579536531447,10.22957533255888
33,10.162781866493713,10.1825506577288
34,10.11436052956772,10.136828641043783
35,10.0595710937396,10.084921118763264
36,10.012865867901269,10.040882885415876
37,9.96958082051145,10.000635031972976
38,9.927215422616115,9.959270431969221
39,9.88428871181852,9.918528655563737
40,9.849708647496831,9.88823447945746
41,9.81526692325139,9.858137702872611
42,9.778369187533219,9.824604847527702
43,9.748461486738117,9.79871087765267
44,9.714893733122965,9.766222724049529
45,9.687309730847076,9.739955235657149
46,9.65723518858141,9.711391418551237
47,9.629128146084383,9.685331070882112
48,9.606466429489775,9.665420071713555
49,9.579239224730197,9.641277154965241
50,9.558764774509806,9.620677223623508
51,9.53345008351101,9.598404269610011
52,9.514510322076644,9.581002404345336
53,9.494608005682986,9.561871081250706
54,9.476903403096532,9.545665335354247
55,9.459373493587979,9.529496600443991
56,9.44350040833713,9.515386927974872
57,9.427616068503905,9.501006744594687
58,9.410817352118293,9.485820662963205
59,9.39722941621882,9.472746239239427
60,9.383963378261244,9.461844693558806
61,9.370908974726948,9.450657622756907
62,9.358957261738619,9.439953990194272
63,9.346568179003654,9.428359272748212
64,9.334352144280668,9.416959265936969
65,9.323271584419958,9.407626431505609
66,9.313256520543373,9.398570810908883
67,9.302693023038676,9.38880782113319
68,9.293758277016556,9.381949383531387
69,9.283715581144623,9.375134064488554
70,9.27553817016199,9.36693827851222
71,9.268205323444983,9.36156480751546
72,9.259463922198682,9.354103509134443
73,9.253963401946598,9.349109437676672
74,9.247678999631816,9.34444586860709
75,9.241711897009534,9.33880141447299
76,9.236661274769908,9.333751534213203
77,9.230939067739675,9.32947736560429
78,9.225776104911212,9.325445780158816
79,9.218760331655984,9.32048518356206
80,9.212671688831326,9.31593797134204
81,9.208814935763266,9.31265682296587
82,9.2046107092308,9.309558177253098
83,9.20108350561425,9.307631640773906
84,9.196864076657087,9.304229395881475
85,9.19198267879432,9.300291581836518
86,9.187332612197505,9.29663244264861
87,9.183570303231841,9.294673875574412
88,9.181368707811796,9.293819919331229
89,9.17826234653746,9.291392273560534
90,9.175506278010742,9.289691557318005
91,9.173346511708266,9.288277617278208
92,9.170943165032591,9.287783253526785
93,9.168680286262235,9.28662248255894
94,9.16700609657249,9.286267109784747
95,9.163558940067677,9.284370443937254
96,9.160897870852734,9.282801603319076
97,9.159168952027896,9.282079069458716
98,9.157230624778851,9.281471896276807
99,9.155430330032255,9.280094421638386
100,9.153550038256357,9.278806736749162
101,9.152137600299215,9.27814274657061
102,9.150377753228753,9.277485431757727
103,9.14869756727688,9.276938477451724
104,9.146954690363911,9.274849741406193
105,9.145370065220773,9.27480438103363
106,9.143249179806139,9.273695699911723
107,9.14174848290864,9.272312556005287
108,9.140656765832624,9.27133722895915
109,9.139336297910733,9.270812403783172
110,9.137549812395957,9.27023536494445
111,9.135534386116465,9.269447636472826
112,9.133976966051513,9.268139952086283
113,9.131631978272257,9.267459017211129
114,9.130281313230052,9.267630001739654
115,9.128993008393136,9.267350343982372
116,9.128026651143282,9.268371823020091
117,9.126442917893705,9.268817285441594
118,9.125477791183577,9.269016290662579
119,9.12372845949318,9.26703824974016
120,9.12243998450257,9.266248907002986
121,9.121507786428989,9.265466070990065
122,9.120244356033488,9.265380294824123
123,9.119096213884026,9.264916579767887
124,9.118102806571411,9.26420393668023
125,9.116750131740332,9.263619272495115
126,9.115600409850588,9.263897375632157
127,9.114346292503757,9.263865692321328
128,9.113397622144069,9.263902597666036
129,9.11220327563971,9.264561635314456
130,9.111288479217448,9.264189782408469
131,9.110104231794264,9.264177545469693
132,9.108864417107279,9.264694169087118
133,9.107882142871874,9.265136316360051
134,9.106939255345065,9.26516485000796
135,9.105566262539183,9.264902484511854
136,9.104449802632958,9.265383112685477
137,9.103410857706626,9.265606790179074
138,9.102569848524023,9.265552997469314
139,9.101386157999551,9.265478014244406
140,9.10019439180183,9.265777185936901
141,9.099031406499712,9.265324313752403
142,9.097663961069319,9.265071090664682
143,9.096654317638412,9.265414606867456
144,9.095843708784306,9.265338698109252
145,9.095072140701344,9.266011164240084
146,9.093795850183499,9.266089264571066
147,9.093305283554905,9.265115750568729
148,9.092085963669684,9.264397287272246
149,9.090922366917603,9.264916775536625
150,9.089785868264666,9.264517539142378
151,9.088954951243336,9.264265108553445
152,9.088036349963415,9.264785349234229
153,9.087142923583876,9.264843542585636
154,9.086038657184194,9.265131817443196
155,9.085115819907113,9.265342342328156
