Target variance,Components (k),Actual retained variance,Dimensions reduced,Reduction ratio
0.8,26,0.8018050415468281,535,0.9536541889483066
0.9,63,0.9005345066145933,498,0.8877005347593583
0.95,102,0.9507558220254131,459,0.8181818181818181
0.99,179,0.9901926791986623,382,0.6809269162210339
