PC,Eigenvalue,Explained variance ratio,Cumulative explained variance
39,1.6087315652013268,0.0028672241527630555,0.847459962721884
40,1.5994857731621595,0.0028507454817283343,0.8503107082036123
41,1.5079841869992943,0.0026876632351078645,0.8529983714387201
42,1.4903301176725747,0.002656198586148988,0.8556545700248691
43,1.4779086171999247,0.0026340598857348624,0.858288629910604
44,1.452349386359684,0.0025885059564303087,0.8608771358670343
45,1.397387902744466,0.0024905487231031177,0.8633676845901375
46,1.3856005946805867,0.0024695403366775154,0.865837224926815
47,1.3503979899032357,0.0024067991305986992,0.8682440240574137
48,1.3247857657464293,0.0023611507519027877,0.8706051748093165
49,1.2920401281717369,0.0023027885708014097,0.872907963380118
50,1.2768259158708861,0.002275672451544556,0.8751836358316626
51,1.2352919828129767,0.0022016469903682664,0.8773852828220309
52,1.1977126885967804,0.0021346698374664504,0.8795199526594973
53,1.1653805101020882,0.002077044559827402,0.8815969972193247
54,1.1361605759105584,0.0020249662001629565,0.8836219634194876
55,1.120915129511075,0.0019977944127238362,0.8856197578322115
56,1.1095319232922587,0.0019775062524661066,0.8875972640846775
57,1.0900233101699879,0.0019427362709844012,0.8895400003556619
58,1.0673756479909327,0.00190237159771756,0.8914423719533795
59,1.0551875637046018,0.0018806489123438157,0.8933230208657233
60,1.0448137017593295,0.001862159695018617,0.8951851805607419
61,1.0181658017543238,0.0018146654429211859,0.8969998460036631
62,0.995242708079003,0.0017738098712001792,0.8987736558748632
63,0.9879716463332864,0.0017608507397300754,0.9005345066145933
64,0.9722549706619559,0.001732839085666246,0.9022673457002596
65,0.9579722615150001,0.0017073831739909402,0.9039747288742506
66,0.9456833183621496,0.0016854807289951675,0.9056602096032458
67,0.9292261443271136,0.0016561492930364436,0.9073163588962823
68,0.9151292079146305,0.0016310244820138054,0.9089473833782961
69,0.8889512610251118,0.0015843678220619736,0.910531751200358
70,0.8836814080650397,0.0015749754224749501,0.912106726622833
71,0.8585752614296339,0.0015302290200465015,0.9136369556428795
72,0.8539875944086597,0.0015220524727766495,0.9151590081156562
73,0.831173691798246,0.0014813915110610284,0.9166403996267173
74,0.8195724576226133,0.0014607147620310736,0.9181011143887483
75,0.8117120552317885,0.001446705255365747,0.919547819644114
76,0.800957413007618,0.0014275373776374276,0.9209753570217515
77,0.7779690003618588,0.0013865653886509643,0.9223619224104025
78,0.7607728865504542,0.0013559169486500053,0.9237178393590525
79,0.7558009289931644,0.0013470554846847663,0.9250648948437372
80,0.7466700246762247,0.0013307815767436228,0.9263956764204808
81,0.7339750674078133,0.0013081554973618033,0.9277038319178427
82,0.7307499423286649,0.0013024073932513087,0.9290062393110939
83,0.719467396001973,0.0012822986379857832,0.9302885379490797
84,0.7013162082298817,0.001249947980419762,0.9315384859294995
85,0.6899806987717253,0.0012297448295614443,0.9327682307590609
86,0.6820048704513002,0.0012155296005616001,0.9339837603596225
87,0.668637296275975,0.0011917047236409141,0.9351754650832634
88,0.658908369983441,0.0011743649678669832,0.9363498300511304
89,0.6468295478134419,0.0011528370191327784,0.9375026670702632
90,0.6348435712065426,0.0011314745480001539,0.9386341416182633
91,0.6205058247985569,0.0011059205440342881,0.9397400621622976
92,0.6134060882047776,0.0010932667634531929,0.9408333289257508
93,0.6055237885532878,0.0010792182295467675,0.9419125471552976
94,0.5946489409074416,0.0010598361110490263,0.9429723832663466
95,0.5762914637074932,0.0010271177861587567,0.9439995010525053
96,0.5727828481471992,0.001020864420156097,0.9450203654726614
97,0.5651277352729268,0.0010072207986843605,0.9460275862713458
98,0.5522529023047218,0.0009842741288683756,0.9470118604002141
99,0.5413086595537882,0.0009647683282562941,0.9479766287284704
100,0.5265203044581055,0.0009384112095006417,0.9489150399379711
101,0.5180904351610456,0.0009233867483810881,0.9498384266863522
102,0.5147287972911346,0.0009173953390608854,0.9507558220254131
103,0.5043477861566272,0.0008988933798162199,0.9516547154052293
104,0.5021608286023919,0.0008949955899945932,0.9525497109952239
105,0.49104074659184227,0.0008751763930502207,0.9534248873882741
106,0.4883983065990031,0.0008704668020074495,0.9542953541902816
107,0.48168403137151017,0.0008585000248788133,0.9551538542151604
108,0.4683803785432091,0.0008347890742551113,0.9559886432894156
109,0.4643229459338924,0.0008275575578061969,0.9568162008472217
110,0.4636483545260356,0.0008263552411365346,0.9576425560883582
111,0.4553330547955986,0.0008115349760654074,0.9584540910644237
112,0.4478919311255107,0.0007982727451425604,0.9592523638095662
113,0.43361031928563165,0.0007728187891853008,0.9600251825987516
114,0.4254158065449437,0.0007582138014058233,0.9607833964001574
115,0.4210952842333661,0.0007505133831432174,0.9615339097833007
116,0.408540032895557,0.0007281363000682845,0.962262046083369
117,0.40293604294094476,0.0007181483718786024,0.9629801944552475
118,0.3983456143274011,0.000709966902653412,0.963690161357901
119,0.391549361397455,0.0006978540175888428,0.9643880153754898
120,0.3808053465120657,0.0006787050808467588,0.9650667204563366
121,0.37276508418492377,0.0006643750118423335,0.9657310954681789
122,0.3648509034186332,0.0006502696565840114,0.9663813651247629
123,0.3590075976976718,0.0006398551985988955,0.9670212203233618
124,0.3539248650360768,0.0006307963014126896,0.9676520166247745
125,0.3486739927609165,0.0006214377308866433,0.9682734543556611
126,0.3452805176439525,0.0006153895783995365,0.9688888439340607
127,0.338010144367092,0.0006024316739797218,0.9694912756080405
128,0.33496049656312316,0.0005969963210407336,0.9700882719290812
