PC,Feature index,Feature name,Loading,|Loading|
PC1,280,fBodyAcc-sma(),0.058571095387552716,0.058571095387552716
PC1,359,fBodyAccJerk-sma(),0.05856808356301395,0.05856808356301395
PC1,95,tBodyAccJerk-sma(),0.05853759211346333,0.05853759211346333
PC1,438,fBodyGyro-sma(),0.058531325801195334,0.058531325801195334
PC1,226,tBodyAccJerkMag-mean(),0.05849274561500047,0.05849274561500047
PC1,231,tBodyAccJerkMag-sma(),0.05849274561500047,0.05849274561500047
PC1,515,fBodyBodyAccJerkMag-mean(),0.058128100457192494,0.058128100457192494
PC1,520,fBodyBodyAccJerkMag-sma(),0.058128100457192466,0.058128100457192466
PC1,228,tBodyAccJerkMag-mad(),0.05801689199571901,0.05801689199571901
PC1,227,tBodyAccJerkMag-std(),0.05798474774522931,0.05798474774522931
