iteration,train_binary_logloss,validation_binary_logloss
1,0.13373299729934437,0.13492201513219473
2,0.12406509869045129,0.12600552517460534
3,0.11622897238293513,0.11917829361432516
4,0.11017982185583375,0.11362484288547137
5,0.10507266899703509,0.10928166869205796
6,0.09960617234874346,0.10345568948655569
7,0.09571856050340784,0.10009500059225758
8,0.09236041760013582,0.09718083475592144
9,0.08877764901170042,0.09349205545916041
10,0.08609119637423364,0.09123004110326936
11,0.08314570635922514,0.08796251171595484
12,0.08051142194737394,0.08511593603846764
13,0.07844589138976478,0.0833908666134859
14,0.07656675812029916,0.08168152436835421
15,0.07479548987285092,0.080160115491548
16,0.07314447778038248,0.07835441175926099
17,0.07159282412872013,0.07695882906905135
18,0.07008371446423478,0.07521242765891911
19,0.06858131912923282,0.07418641905571403
20,0.06726905196765488,0.0731496018801785
21,0.0661156352373063,0.07185186313667105
22,0.0648419774707151,0.07106277940750107
23,0.06375268096288132,0.07032253866719247
24,0.0626638505382368,0.06964935076171586
25,0.06157024275361581,0.06873367762270263
26,0.06065616769369283,0.06807236154475295
27,0.059799969529808226,0.06749653128760928
28,0.05891827164854952,0.06705627093612716
29,0.058093707812981836,0.06659578903299689
30,0.05737381644671392,0.06617044735626534
31,0.05678774530973799,0.065999123762883
32,0.05613761547062506,0.06551547764823697
33,0.055454018770041254,0.06488465578980006
34,0.05485547131107673,0.06457901982922767
35,0.054190265583354325,0.06424112426448192
36,0.05359755407437391,0.06372053887342874
37,0.05305275958749808,0.06334224685967267
38,0.05246354865565051,0.06280921389446771
39,0.05195289238231666,0.06240395700974168
40,0.05148005384093275,0.06215545848315834
41,0.05096498322645276,0.061648201459517896
42,0.05053560577705176,0.06135871033123607
43,0.05009896525074638,0.06117272242357423
44,0.049690009892434946,0.06087604912782276
45,0.04925206327593228,0.06059362019203479
46,0.04888261457714368,0.06024326913859691
47,0.04840628828803488,0.05984268202370482
48,0.04807865160382687,0.05961290453852692
49,0.047702789724975984,0.05937291680707065
50,0.04733773391311767,0.059111116868793376
51,0.046918770528838576,0.058754640178572105
52,0.04658567153634005,0.058522071691733575
53,0.04629725557241867,0.05830932603250352
54,0.04599495057433681,0.05824188022866252
55,0.04567263433287927,0.058257599551580115
56,0.045365086837816274,0.058028407221963126
57,0.04509459860041638,0.05806612085261088
58,0.04481619488461445,0.05788324884221703
59,0.04454345544637647,0.05770810820870442
60,0.044264454745979995,0.057502576579569864
61,0.04390824158693755,0.05697927781732515
62,0.043730461137001776,0.05682528121672766
63,0.04349201732952289,0.05690147889865247
64,0.04325977874526453,0.05663116081450119
65,0.04310425945750223,0.05658196023376003
66,0.04279318343802603,0.056311685632765236
67,0.042576036220418556,0.056341889381276475
68,0.04233693601187278,0.05611981974679807
69,0.0421709010645476,0.05609603613969533
70,0.04203229735124429,0.055855844682087485
71,0.041770083116028804,0.05556395918947015
72,0.0415875519318901,0.05541512631111382
73,0.041351168419778574,0.05534010476101872
74,0.04123425916600882,0.055394671344053535
75,0.041086324014942305,0.0551046673512032
76,0.04077833697070494,0.054992336212223214
77,0.04057152962357194,0.055016013792162276
78,0.0403922238145421,0.05482535843173156
79,0.04028493067383409,0.05486471280026008
80,0.04010357328028778,0.054798033032621304
81,0.03992613870098912,0.054798160866550004
82,0.03968293087022936,0.05467533758839147
83,0.03953845293921043,0.054600057125059935
84,0.039294489880069616,0.05432016317654546
85,0.039114062480208156,0.05432020564138322
86,0.03895983597718202,0.054357651155981304
87,0.03883993689007695,0.05447600871078396
88,0.03866478716058727,0.054349472494570665
89,0.0385696339652275,0.0542365223325995
90,0.03845264847307818,0.05424526805856882
91,0.03829554107215265,0.05420058587676766
92,0.03808248114703136,0.05410369098534219
93,0.03794331678284144,0.05414173189505597
94,0.03775536204188638,0.05401042153887897
95,0.0375811149302572,0.05402537008236538
96,0.03743712220626172,0.053876427129378776
97,0.0373530868523304,0.053927122098584315
98,0.037225575271992904,0.053830144968743665
99,0.037040937641006896,0.053868204835197116
100,0.03691581278630362,0.05387111210000963
101,0.0367726865377427,0.05370163240017097
102,0.036625485290238007,0.05372951413205762
103,0.03648406172197806,0.05359490294989026
104,0.03637538847750037,0.053563176995848956
105,0.03626818175831859,0.053339548157039986
106,0.03613321060207272,0.05319041611094273
107,0.03599566963966706,0.053203510280335764
108,0.03592064966156335,0.05317728574236105
109,0.035793689281016894,0.053141673811959805
110,0.03569486139870566,0.053259783118764614
111,0.03558881724901048,0.05327480609573158
112,0.035395213715402385,0.05339294426250458
113,0.03529310305933855,0.05326009738689127
114,0.0351202792379327,0.05320725709244914
115,0.034992225918010156,0.053128054670245776
116,0.03489283734594487,0.05302926310306509
117,0.03479970534768991,0.05300473799618169
118,0.03462681504804567,0.05308783654940141
119,0.03446942293401253,0.05310497896203191
120,0.034337490284229465,0.05298367350935493
121,0.03424498405019431,0.052930267180474354
122,0.03412573217603047,0.05291082956607001
123,0.033951888968004294,0.05271606715357797
124,0.0338036648760794,0.052705079874330665
125,0.03367218028400925,0.05263816743887149
126,0.03356419373278527,0.052659550792892994
127,0.03345772759644906,0.05265867211356097
128,0.03334460497064576,0.052523262750805495
129,0.033235616629265906,0.05251603293744265
130,0.033120776557340574,0.05255931512150539
131,0.03295589307786558,0.052607520065335964
132,0.03287969817932474,0.05254397936771645
133,0.03281592228160583,0.052546582905988674
134,0.0327278830117686,0.05236145032028154
135,0.032627415471831504,0.05229199777702012
136,0.03248080164505285,0.052197658433997825
137,0.03234200165725923,0.05214027667538886
138,0.03223849068077888,0.05200752784885881
139,0.032138451318661845,0.05195672417427161
140,0.0320581362218704,0.05192210570360169
141,0.03197650423982826,0.05186910260269446
142,0.031852918806931835,0.05168007067023015
143,0.031761363501767,0.05158802314046117
144,0.03169488448639296,0.05148115550460266
145,0.031570031352577084,0.051482621120294864
146,0.03150714342282943,0.051418586425210806
147,0.03143528909766973,0.051418151916566665
148,0.03132468027157026,0.0512538059172279
149,0.031247481347653174,0.05123205846936639
150,0.031198654671727572,0.0512136528079004
151,0.03107875330819035,0.051130918058920484
152,0.030994293545072805,0.05106740191385224
153,0.030910921463623342,0.05104074520371889
154,0.03084406616121037,0.05101421281606647
155,0.03077321806495863,0.05096936133761338
156,0.030728747142438447,0.05093130469996195
157,0.03063343387262092,0.05084001793544866
158,0.03054912745064526,0.05086127594132624
159,0.03047769993083384,0.05077105505506819
160,0.030380773036930042,0.050747430236704666
161,0.03031582368387352,0.05075932046713663
162,0.030239819876330152,0.050872994928983215
163,0.030176867281539572,0.05088752516866388
164,0.030112433593748444,0.05096406499551337
165,0.03003108455832884,0.051017897698807775
166,0.02998433812883973,0.0510533477830365
167,0.029886839537372485,0.050884114893914006
168,0.029827219926949818,0.050816363364356375
169,0.029697782445693096,0.050799937582682614
170,0.029639125884986454,0.0507962574039951
171,0.0295543665996996,0.05084375064882622
172,0.02951038900004825,0.05086078166473684
173,0.02944749647467514,0.05078860699741778
174,0.029290395050131285,0.05078542434897624
175,0.029204299690173352,0.050762752783050126
176,0.029138000692751548,0.05075700264026164
177,0.029088249886860998,0.050666457245589235
178,0.02902389067045844,0.05073616844094155
179,0.028959765105720837,0.050631048887660665
180,0.02888954536062712,0.05058181919595084
181,0.028826927138952532,0.05042388953121372
182,0.0286931710906391,0.050342429053940915
183,0.028621829270372275,0.05029215527288621
184,0.02855119707294123,0.05020998364045624
185,0.028487736297876147,0.050286631041134074
186,0.02842086306683834,0.05023142175267117
187,0.028366237581887332,0.05022462527945558
188,0.028302576408046027,0.05020225781130098
189,0.028264876017930245,0.05024408008228264
190,0.028138899782564997,0.05027217893157328
191,0.028015302015591253,0.05025859491110498
192,0.02788369675780917,0.05016347793915134
193,0.027835347465991766,0.05018580692825345
194,0.02771414462515933,0.0501754308030084
195,0.027672340063220516,0.050116595808972646
196,0.027606288974418636,0.050135487797609284
197,0.02749044179874406,0.050231257827727346
198,0.027367390280731513,0.05031569545395967
199,0.02731735258448847,0.050309696074159645
200,0.027238386630718196,0.05021467627858918
201,0.02717684542520838,0.050158962896229835
202,0.027100471112838462,0.05015083979226989
203,0.02703982877824513,0.050177771641026256
204,0.026988031728419376,0.050229115220580996
205,0.026873738890915506,0.050354227592771146
206,0.026795047737011767,0.050245351139418075
207,0.02668077388871829,0.05036034494003635
208,0.02664287362967906,0.05036685934089679
209,0.02658746546680556,0.05034165815874638
210,0.02654539038451421,0.05036524413890637
211,0.026449132048793154,0.05030652347681195
212,0.026378952708876698,0.05033670217194071
213,0.026319543793765766,0.05037436445419711
214,0.026265725070330974,0.050331517702993336
215,0.026154786857702266,0.050320714150761385
216,0.026127923792269372,0.05031936652148395
217,0.02602129772805082,0.05043131453955261
218,0.02592162481132415,0.050533029106749824
219,0.025879555735594226,0.05047064720071353
220,0.025819337609387823,0.0504186439423576
221,0.025768831196022152,0.05040040495331405
222,0.025708888933161436,0.05041491152009737
223,0.025637202369741287,0.05036014799343466
224,0.025589825016975144,0.050394591981104866
225,0.02554208671623539,0.05044413555083222
