name,family,value,validation_mae,validation_rmse,validation_r2,best_iteration,train_seconds,efb_applied,n_efb_bundles
combined_leaves15_bins32,combined,combined,7.6118032704738505,9.49020167863161,0.6380684395506466,59,9.82054886800006,False,37
max_bins_32,max_bins,32,7.695758389566339,9.613310953824685,0.6286174001020609,60,5.508138404999954,False,37
num_leaves_15,num_leaves,15,7.740409447543121,9.662538323421193,0.6248041461959957,60,5.7222363280002355,False,37
min_data_50,min_data_in_leaf,50,7.798713038246115,9.706690026706292,0.6213674958089548,60,2.9427558489996954,False,37
reg_lambda_5,reg_lambda,5.0,7.820911606081612,9.74666388858123,0.6182425235449134,60,3.2517459760001657,False,37
baseline,baseline,baseline,7.842923155395195,9.762427511307898,0.6170066653341318,60,3.54791225200006,False,37
feature_fraction_08,feature_fraction,0.8,7.839123231181086,9.77272878394234,0.6161979729684448,60,2.76997197899982,False,37
learning_rate_005,learning_rate,0.05,8.29201830773909,10.325381313098042,0.5715622108462142,60,3.404576327000086,False,37
