name,family,value,validation_mae,validation_rmse,validation_r2,best_iteration,train_seconds,efb_applied,n_efb_bundles
feature_fraction_08,ablation,feature_fraction_08,7.5876750180012005,9.481920513731326,0.6386998080608042,60,7.848233275999974,False,37
selected,ablation,selected,7.6118032704738505,9.49020167863161,0.6380684395506466,59,9.926096133000101,False,37
no_efb,ablation,no_efb,7.6118032704738505,9.49020167863161,0.6380684395506466,59,10.053461697999865,False,37
no_regularization,ablation,no_regularization,7.639333640399799,9.531475674450457,0.6349134284012934,59,10.280680053000196,False,37
no_goss,ablation,no_goss,7.729364839313213,9.60780625092439,0.629042595037306,60,12.737222066999948,False,37
