model,mae,mse,rmse,r2,train_seconds,best_iteration,selection
LightGBM From Scratch,7.342514690788344,84.81681215342157,9.20960434293578,0.6565858345205204,31.992354463000083,125.0,validation
Dummy Mean,12.546464970742857,246.99610425068394,15.716109704716493,-6.070570655603014e-05,0.000270198000180244,,pre-specified
Random Forest,7.570226042162717,90.61754704685454,9.519324926004709,0.633099281772079,18.203774022999824,,pre-specified
Official LightGBM 4.6.0,7.326377854197921,84.81424022404197,9.209464708876514,0.6565962479864258,0.7810476949998701,151.0,validation
