Perplexity,Samples,Initial KL,Best KL,Final Restored KL,Best Iteration,Actual Iterations,Stopped Early,Runtime Seconds,Achieved Perplexity Min,Achieved Perplexity Mean,Achieved Perplexity Max,Max Perplexity Abs Error
5,1000,5.082606806946682,0.9038948483823853,0.9038948483823853,750,750,False,18.561123024999972,4.999950022557697,5.0000019861066916,5.000049926521772,4.997744230283985e-05
10,1000,4.4386594753335356,0.7796502652361349,0.7796502652361349,750,750,False,19.237639988000012,9.999900110346273,9.999997537794759,10.000099928867188,9.992886718812599e-05
20,1000,3.7834407595387836,0.65825009986568,0.65825009986568,750,750,False,19.08357995199998,19.999800938844317,20.000002372318576,20.00019926823326,0.00019926823325988607
30,1000,3.3974849455258482,0.6334038980921548,0.6334038980921548,750,750,False,19.410990019999986,29.99970188558779,29.999996278771462,30.000298890780172,0.0002988907801722007
40,1000,3.122602015046875,0.5712829783329062,0.5712829783329062,750,750,False,18.667511942999965,39.99960070502402,39.999995297191404,40.00039936234468,0.0003993623446802985
50,1000,2.9085139744716035,0.5570104787061758,0.5570104787061758,750,750,False,19.51900424400003,49.99950001969712,49.99999619197133,50.000498613884396,0.0004999803028766792
