Perplexity,T@5,C@5,T@10,C@10,T@20,C@20,T@50,C@50,Mean Trustworthiness,Mean Continuity,Worst Neighborhood Score
5,0.9890745967741935,0.9764389112903226,0.9813728796343322,0.9668507872016252,0.9695678700361011,0.9533747292418773,0.946396387236344,0.9223480800432666,0.9716029334202426,0.954753126944273,0.9223480800432666
10,0.9917681451612903,0.9848699596774193,0.9863436262061961,0.9754104621635348,0.9772291903042806,0.963108612686952,0.9606461438615468,0.9342266089778258,0.9789967763833285,0.964403910876433,0.9342266089778258
20,0.9919014112903226,0.9871877016129033,0.9868864398171661,0.9795734890807517,0.980507323362558,0.96853017019082,0.9665145700378583,0.943934299621417,0.9814524361269762,0.969806415126473,0.943934299621417
30,0.9915737903225806,0.9843727822580646,0.9872660233621128,0.977744032503809,0.9809375966993296,0.9675692625064466,0.9675374580854516,0.9464348729042725,0.9818287171173686,0.9690302375431481,0.9464348729042725
40,0.9924127016129032,0.9870268145161291,0.9872059928897918,0.9804025393600813,0.9823352759154204,0.970974780814853,0.968599221200649,0.9494359329367226,0.9826382979046911,0.9719600169069464,0.9494359329367226
50,0.9915350806451613,0.9868564516129033,0.9858318943626206,0.9802916201117319,0.9809092315626612,0.9706009283135637,0.9675669226608978,0.9491707517577068,0.9814607823078352,0.9717299379489764,0.9491707517577068
