Perplexity,Mean Neighborhood Score,Robust Worst Neighborhood,Mean Seed Stability,Worst Seed Stability,Runtime Mean,Runtime Std,Final KL Mean,Final KL Std
20,0.9749093105752967,0.9387459599783667,0.839395,0.81695,17.213052619333343,0.44674161828303144,0.6707117306935376,0.018013765966497015
30,0.9767466694480276,0.9464348729042725,0.8224358333333334,0.7974000000000001,16.519875145666656,0.5175542136232787,0.6155366570535289,0.013037972067581744
40,0.9772712261424351,0.9494359329367226,0.825065,0.7864000000000001,18.702499560666677,0.1957819193888282,0.5775898838844024,0.0046872140987783955
