Role,Perplexity,Mean Neighborhood Score,Robust Worst Neighborhood,Mean Seed Stability,Worst Seed Stability,Full Samples,Full Final KL,Full Runtime Seconds
PRIMARY,40,0.9772712261424352,0.9494359329367226,0.825065,0.7864000000000001,5620.0,1.081797712299418,1808.5783220870003
ALTERNATIVE,30,0.9767466694480276,0.9464348729042724,0.8224358333333334,0.7974000000000001,,,
