Perplexity,Seed,Runtime Seconds,Initial KL,Final KL,Best KL,Best Iteration,Actual Iterations,Stopped Early,T@5,C@5,T@10,C@10,T@20,C@20,T@50,C@50
20,0,17.560316770000043,3.7834407600908926,0.6961850632057109,0.6961850632057109,750,750,False,0.9900701612903225,0.982708870967742,0.9841805992889792,0.975193092940579,0.9778677668901495,0.964297833935018,0.9632713683071931,0.9387459599783667
20,42,17.496501299999977,3.7834407595387836,0.65825009986568,0.65825009986568,750,750,False,0.9919014112903226,0.9871877016129033,0.9868864398171661,0.9795734890807517,0.980507323362558,0.96853017019082,0.9665145700378583,0.943934299621417
20,123,16.582339788000013,3.7834407606472156,0.6577000290092221,0.6577000290092221,750,750,False,0.991901814516129,0.9874798387096774,0.9874880650076181,0.980998781107161,0.982042031975245,0.970523929860753,0.9680612439156301,0.9479566901027583
30,0,16.927149560999965,3.3974849459393592,0.6105469364699769,0.6105469364699769,750,750,False,0.9917653225806452,0.9879328629032258,0.9864910106653123,0.9812748603351955,0.9813704486848891,0.9714949974213513,0.9684420551649541,0.9498211141157382
30,42,16.842915457000004,3.3974849455258482,0.6334038980921548,0.6334038980921548,750,750,False,0.9915737903225806,0.9843727822580646,0.9872660233621128,0.977744032503809,0.9809375966993296,0.9675692625064466,0.9675374580854516,0.9464348729042725
30,123,15.789560418999997,3.397484946496379,0.602659136598455,0.602659136598455,750,750,False,0.9927171370967742,0.9873891129032258,0.9886663280853225,0.9804768918232606,0.9825382155750387,0.9709602888086643,0.9687664250946457,0.9483771768523526
40,0,18.598279597000044,3.1226020153719016,0.5825103032090869,0.5825103032090869,750,750,False,0.9918449596774194,0.9873221774193548,0.9866288471305231,0.9806168613509396,0.9808333161423414,0.9710886023723568,0.9676549053542456,0.949920843699297
40,42,18.97675699199999,3.122602015046875,0.5712829783329062,0.5712829783329062,750,750,False,0.9924127016129032,0.9870268145161291,0.9872059928897918,0.9804025393600813,0.9823352759154204,0.970974780814853,0.968599221200649,0.9494359329367226
40,123,18.532462092999992,3.122602015917291,0.5789763701112141,0.5789763701112141,750,750,False,0.9917461693548387,0.9874693548387097,0.9876537328593195,0.9806184865413916,0.9826686952037132,0.9710893243940175,0.9692791346673878,0.9496807571660357
