Perplexity,T@5,C@5,T@10,C@10,T@20,C@20,T@50,C@50,Mean Trustworthiness,Mean Continuity,Worst Neighborhood Score
20,0.9919014112903226,0.9871877016129033,0.9868864398171661,0.9795734890807517,0.980507323362558,0.96853017019082,0.9665145700378583,0.943934299621417,0.9814524361269762,0.969806415126473,0.943934299621417
30,0.9915737903225806,0.9843727822580646,0.9872660233621128,0.977744032503809,0.9809375966993296,0.9675692625064466,0.9675374580854516,0.9464348729042725,0.9818287171173686,0.9690302375431481,0.9464348729042725
40,0.9924127016129032,0.9870268145161291,0.9872059928897918,0.9804025393600813,0.9823352759154204,0.970974780814853,0.968599221200649,0.9494359329367226,0.9826382979046911,0.9719600169069464,0.9494359329367226
