PC,Feature index,Feature name,Loading,|Loading|
PC5,558,"angle(X,gravityMean)",0.16756879304894426,0.16756879304894426
PC5,56,tGravityAcc-energy()-X,-0.16524170221842518,0.16524170221842518
PC5,49,tGravityAcc-max()-X,-0.16236230769368304,0.16236230769368304
PC5,40,tGravityAcc-mean()-X,-0.16047817805169745,0.16047817805169745
PC5,52,tGravityAcc-min()-X,-0.1585835668104622,0.1585835668104622
PC5,57,tGravityAcc-energy()-Y,0.1489153622423749,0.1489153622423749
PC5,71,"tGravityAcc-arCoeff()-Y,3",0.14088298493920046,0.14088298493920046
PC5,70,"tGravityAcc-arCoeff()-Y,2",-0.14037911747844364,0.14037911747844364
PC5,72,"tGravityAcc-arCoeff()-Y,4",-0.13832361136760843,0.13832361136760843
PC5,69,"tGravityAcc-arCoeff()-Y,1",0.13763788992887738,0.13763788992887738
