metric,value
accuracy,0.993000
precision,0.961373
recall,0.826568
f1_score,0.888889
roc_auc,0.996943
precision_macro,0.977661
recall_macro,0.912702
f1_macro,0.942638
precision_weighted,0.992845
recall_weighted,0.993000
f1_weighted,0.992745
