threshold,fpr,tpr
inf,0,0
0.997617708816,0,0.00369003690037
0.993827587342,0,0.00738007380074
0.992164900581,0,0.0110701107011
0.991295900617,0,0.0147601476015
0.990656172174,0,0.0184501845018
0.990251251407,0,0.0221402214022
0.988758016821,0,0.0258302583026
0.988210967907,0,0.029520295203
0.987045262403,0,0.0332103321033
0.987012273464,0,0.0369003690037
0.985136542111,0,0.0405904059041
0.984817135099,0,0.0442804428044
0.983647782951,0,0.0479704797048
0.982950288912,0,0.0516605166052
0.982667772859,0,0.0553505535055
0.977207063211,0,0.0590405904059
0.976013718685,0,0.0627306273063
0.973036403303,0,0.0664206642066
0.972460041886,0,0.070110701107
0.971823106485,0,0.0738007380074
0.970326053217,0,0.0774907749077
0.96826321632,0,0.0811808118081
0.967555592038,0,0.0848708487085
0.967207525945,0,0.0885608856089
0.967072355556,0,0.0922509225092
0.966468185555,0,0.0959409594096
0.966379997904,0,0.09963099631
0.962335195926,0,0.10332103321
0.961616570402,0,0.107011070111
0.959288269128,0,0.110701107011
0.958974663312,0,0.114391143911
0.958774828252,0,0.118081180812
0.957585205578,0,0.121771217712
0.957111647062,0,0.125461254613
0.956735227416,0,0.129151291513
0.954992862095,0,0.132841328413
0.954380000755,0,0.136531365314
0.953413369517,0,0.140221402214
0.952434199177,0,0.143911439114
0.952139813985,0,0.147601476015
0.951728395807,0,0.151291512915
0.94831441414,0,0.154981549815
0.94584116935,0,0.158671586716
0.9451905442,0,0.162361623616
0.944671018605,0,0.166051660517
0.944275884128,0,0.169741697417
0.943752591754,0,0.173431734317
0.93985169547,0,0.177121771218
0.939119969756,0,0.180811808118
0.938728365654,0,0.184501845018
0.938007060757,0,0.188191881919
0.928811269037,0,0.191881918819
0.928580292948,0,0.19557195572
0.926937215755,0,0.19926199262
0.925152662183,0,0.20295202952
0.92493685069,0,0.206642066421
0.924454016617,0,0.210332103321
0.924268640731,0,0.214022140221
0.92144420287,0,0.217712177122
0.919881488835,0,0.221402214022
0.919619989258,0,0.225092250923
0.916043791411,0,0.228782287823
0.912512531303,0,0.232472324723
0.911575524455,0,0.236162361624
0.909257976028,0,0.239852398524
0.907755612247,0,0.243542435424
0.906276142261,0,0.247232472325
0.905909543709,0,0.250922509225
0.90466514371,0,0.254612546125
0.903934670112,0,0.258302583026
0.903784774375,0,0.261992619926
0.900985870808,0,0.265682656827
0.900924739627,0,0.269372693727
0.899770492756,0,0.273062730627
0.898576798377,0,0.276752767528
0.898560601718,0,0.280442804428
0.896839963232,0,0.284132841328
0.896832819775,0,0.287822878229
0.895556169141,0,0.291512915129
0.895302666467,0,0.29520295203
0.894734039564,0,0.29889298893
0.894476370248,0,0.30258302583
0.89432908115,0,0.306273062731
0.894093471966,0,0.309963099631
0.892936012532,0,0.313653136531
0.890701366502,0,0.317343173432
0.889993501641,0,0.321033210332
0.889737727458,0,0.324723247232
0.889005969947,0,0.328413284133
0.888814795864,0,0.332103321033
0.887809563268,0,0.335793357934
0.887236976053,0,0.339483394834
0.885437504713,0,0.343173431734
0.882443956005,0,0.346863468635
0.882010994584,0,0.350553505535
0.881386498102,0,0.354243542435
0.880994845478,0,0.357933579336
0.87973101555,0,0.361623616236
0.879728546811,0,0.365313653137
0.878557201621,0,0.369003690037
0.877367892207,0,0.372693726937
0.877361367191,0,0.376383763838
0.877124413657,0,0.380073800738
0.876996654792,0,0.383763837638
0.876196448394,0,0.387453874539
0.87612791328,0,0.391143911439
0.874675436032,0,0.394833948339
0.869616161194,0,0.39852398524
0.868226156422,0,0.40221402214
0.868122556854,0,0.405904059041
0.867048878388,0,0.409594095941
0.866037744323,0,0.413284132841
0.865733024178,0,0.416974169742
0.865434535987,0,0.420664206642
0.864947774053,0,0.424354243542
0.864847375973,0,0.428044280443
0.859287413848,0,0.431734317343
0.858445317502,0,0.435424354244
0.855948775856,0,0.439114391144
0.855450700494,0,0.442804428044
0.855322778068,0,0.446494464945
0.849654165355,0,0.450184501845
0.847481084816,0,0.453874538745
0.846901038776,0,0.457564575646
0.84630616181,0,0.461254612546
0.840123289887,0,0.464944649446
0.838813183954,0,0.468634686347
0.836637576774,0,0.472324723247
0.83068391606,0,0.476014760148
0.829513555249,0,0.479704797048
0.827918054704,0,0.483394833948
0.827757694317,0,0.487084870849
0.827714586819,0,0.490774907749
0.822236848304,0,0.494464944649
0.818868657269,0,0.49815498155
0.814939989142,0,0.50184501845
0.812517922253,0,0.505535055351
0.810833713014,0,0.509225092251
0.809521742361,0,0.512915129151
0.809509847373,0,0.516605166052
0.809411621261,0,0.520295202952
0.80756031471,0,0.523985239852
0.802195586379,0,0.527675276753
0.798841146868,0,0.531365313653
0.797352586007,0,0.535055350554
0.797189740492,0,0.538745387454
0.797002727983,0,0.542435424354
0.790014597333,0,0.546125461255
0.786511919957,0,0.549815498155
0.780935772132,0,0.553505535055
0.776271536674,0,0.557195571956
0.774697090106,0,0.560885608856
0.767939035341,0,0.564575645756
0.766408634169,0,0.568265682657
0.766218284323,0,0.571955719557
0.759260120289,0,0.575645756458
0.757641829587,0,0.579335793358
0.756688437666,0,0.583025830258
0.756315248023,0,0.586715867159
0.755192458689,0,0.590405904059
0.75496616144,0,0.59778597786
0.753826207167,0,0.60147601476
0.753594367802,0,0.605166051661
0.749178930286,0,0.608856088561
0.749115209695,0,0.612546125461
0.746490666728,0,0.616236162362
0.744732305554,0,0.619926199262
0.740655589641,0,0.623616236162
0.740509207525,0,0.627306273063
0.739365252319,0,0.630996309963
0.737164546441,0,0.634686346863
0.734888562916,0,0.638376383764
0.734354221617,0,0.642066420664
0.731009926865,0,0.645756457565
0.72907791162,0,0.649446494465
0.72879015612,0,0.653136531365
0.728607007206,0,0.656826568266
0.728085685838,0,0.660516605166
0.727223549265,0,0.664206642066
0.725822610221,0,0.667896678967
0.724232475354,0,0.671586715867
0.722130114054,0,0.675276752768
0.719377566522,0,0.678966789668
0.718135285429,0,0.682656826568
0.715590576096,0,0.686346863469
0.71418983789,0,0.690036900369
0.714014722326,0.000129382843835,0.690036900369
0.713751788302,0.000129382843835,0.693726937269
0.710675991219,0.000129382843835,0.69741697417
0.697764072458,0.000129382843835,0.70110701107
0.694410139077,0.000129382843835,0.70479704797
0.690631666257,0.000129382843835,0.708487084871
0.686977145458,0.000129382843835,0.712177121771
0.683210666683,0.000129382843835,0.715867158672
0.67644379857,0.000129382843835,0.719557195572
0.675774605942,0.000129382843835,0.723247232472
0.670224155198,0.000129382843835,0.726937269373
0.669059365483,0.000129382843835,0.730627306273
0.665707914211,0.000129382843835,0.734317343173
0.665529874255,0.000129382843835,0.738007380074
0.665114393393,0.000129382843835,0.741697416974
0.662237075598,0.000129382843835,0.745387453875
0.655251009933,0.000129382843835,0.749077490775
0.652849167828,0.000129382843835,0.752767527675
0.650447543603,0.000129382843835,0.756457564576
0.649116435265,0.000129382843835,0.760147601476
0.648437878387,0.000129382843835,0.763837638376
0.640773685011,0.000129382843835,0.767527675277
0.634060434543,0.00025876568767,0.767527675277
0.610681310823,0.00025876568767,0.771217712177
0.609824582133,0.00025876568767,0.774907749077
0.608550224038,0.00025876568767,0.778597785978
0.605847229284,0.00025876568767,0.782287822878
0.603654034422,0.000388148531505,0.782287822878
0.598514841168,0.000388148531505,0.785977859779
0.587338167733,0.000388148531505,0.789667896679
0.586351813393,0.000388148531505,0.793357933579
0.580706611123,0.00051753137534,0.793357933579
0.577599033151,0.00051753137534,0.79704797048
0.577210110596,0.00051753137534,0.80073800738
0.573569145229,0.000646914219175,0.80073800738
0.573007029659,0.000646914219175,0.80442804428
0.562215541069,0.000646914219175,0.808118081181
0.555332065246,0.000646914219175,0.811808118081
0.552979683858,0.000776297063009,0.811808118081
0.54558226669,0.000776297063009,0.815498154982
0.530956396294,0.000905679906844,0.815498154982
0.526852461161,0.000905679906844,0.819188191882
0.524344848026,0.00103506275068,0.819188191882
0.517847145251,0.00103506275068,0.822878228782
0.504889457973,0.00103506275068,0.826568265683
0.503443426639,0.00116444559451,0.826568265683
0.492229256091,0.00116444559451,0.830258302583
0.490163922287,0.00116444559451,0.833948339483
0.486640637522,0.00116444559451,0.837638376384
0.479776546658,0.00116444559451,0.841328413284
0.479649260887,0.00129382843835,0.841328413284
0.469645340496,0.00129382843835,0.845018450185
0.46730096536,0.00129382843835,0.848708487085
0.464287036008,0.00129382843835,0.852398523985
0.45899880708,0.00142321128218,0.852398523985
0.457685040888,0.00142321128218,0.856088560886
0.456350207111,0.00142321128218,0.859778597786
0.441006061407,0.00155259412602,0.859778597786
0.434564813783,0.00155259412602,0.867158671587
0.43147325746,0.00168197696985,0.867158671587
0.42678350872,0.00168197696985,0.870848708487
0.417255228693,0.00181135981369,0.870848708487
0.41644184413,0.00194074265752,0.870848708487
0.398599985196,0.00207012550136,0.870848708487
0.380647308904,0.00219950834519,0.870848708487
0.362237276405,0.00232889118903,0.870848708487
0.357687498831,0.00232889118903,0.874538745387
0.347055335464,0.00232889118903,0.878228782288
0.345681369546,0.00232889118903,0.881918819188
0.345570152114,0.00232889118903,0.885608856089
0.344834429444,0.00232889118903,0.889298892989
0.341965875611,0.00245827403286,0.889298892989
0.338412856483,0.0025876568767,0.889298892989
0.335174094522,0.0025876568767,0.892988929889
0.33268584323,0.00271703972053,0.892988929889
0.33192263116,0.00271703972053,0.89667896679
0.32621054026,0.00271703972053,0.90036900369
0.324604792175,0.00271703972053,0.90405904059
0.323934272937,0.00284642256437,0.90405904059
0.323665812035,0.00284642256437,0.907749077491
0.323474794431,0.0029758054082,0.907749077491
0.304714781591,0.0029758054082,0.911439114391
0.302400980036,0.00310518825204,0.911439114391
0.295406607205,0.00323457109587,0.911439114391
0.291125206581,0.00336395393971,0.911439114391
0.289549948551,0.00349333678354,0.911439114391
0.284383802725,0.00362271962738,0.911439114391
0.274228913507,0.00375210247121,0.911439114391
0.274190158509,0.00388148531505,0.911439114391
0.271140070837,0.00401086815888,0.911439114391
0.271063585267,0.00401086815888,0.915129151292
0.269917348918,0.00414025100272,0.915129151292
0.269007135874,0.00426963384655,0.915129151292
0.268736037756,0.00439901669039,0.915129151292
