Iteration,KL,Gradient Norm
1,4.8065001533640395,8.933938685083842e-05
2,4.806500174060874,0.0001409043766822071
3,4.806500179421965,0.00015160662442928414
4,4.806500201132778,0.0002039131518212172
5,4.8065002160303205,0.00023448148727407963
6,4.80650018163333,0.0001590824756273033
7,4.8065001604846005,7.890150380846115e-05
8,4.806500166638589,0.00011024410392987357
9,4.806500163292231,9.622245002205123e-05
10,4.8065001546601245,4.1537878753036516e-05
11,4.8065001565000935,6.08513407871379e-05
12,4.806500155179927,5.302032317401429e-05
13,4.8065001519323935,1.8711702002847194e-05
14,4.806500152502689,3.729872154500357e-05
15,4.806500151162305,3.0452347411810958e-05
16,4.806500149019161,9.946198168311782e-06
17,4.806500147727526,2.4253403221112552e-05
18,4.806500144263534,1.6098634232572108e-05
19,4.8065001386457595,8.325847219456216e-06
20,4.806500128968019,1.702801041882618e-05
21,4.806500109796193,1.4195160734847816e-05
22,4.80650007234758,1.8380833037487746e-05
23,4.806499998312688,3.363208326743387e-05
24,4.80649985194427,5.6977667582426554e-05
25,4.806499574429001,9.799168611712478e-05
26,4.806499096992254,0.00017090680216801926
27,4.806498283612612,0.00030781410886321234
28,4.806497118032176,0.0005712847861354549
29,4.806495333524765,0.0009153656419589309
30,4.8064913125271875,0.0009297678788311567
31,4.806483734541845,0.0004548132174626553
32,4.80647233039321,0.0005828922583899096
33,4.8064521507128255,0.0005763691254919518
34,4.806415930051298,0.0007886593612113355
35,4.806349792166994,0.0010830758562581655
36,4.806225243523649,0.0015691239336341253
37,4.805988334813666,0.002177722572529276
38,4.805533711863482,0.00297322645455206
39,4.80469490376653,0.004392096418820078
40,4.8031912025331165,0.006348251343179517
41,4.800514483030584,0.008655699092450148
42,4.795942715268199,0.010959959218745175
43,4.788335959924472,0.013589731610489547
44,4.77596579746427,0.015855354076766474
45,4.757101318930612,0.018612413535283454
46,4.729892771435705,0.023080986846829004
47,4.69386492899821,0.026645248592932304
48,4.649282154478306,0.029865446532461835
49,4.59940700422038,0.03390813372097522
50,4.545756811493574,0.037411339402405056
51,4.488889350604774,0.03855102673485221
52,4.432644630741676,0.0400586957688561
53,4.377759711429348,0.03969845229395711
54,4.32423402723992,0.03619626477114535
55,4.273712667115877,0.031074683581005496
56,4.226920506384207,0.0289908890827965
57,4.182450491541661,0.027042303370607125
58,4.1400788197351694,0.0239233220308435
59,4.099503442124125,0.023278511747088667
60,4.061083489185953,0.023814792911801004
61,4.024049837123128,0.02394486664185726
62,3.9893507103036376,0.022420855859882856
63,3.956938747277654,0.021578885979242252
64,3.9262758721515616,0.020082272065387128
65,3.897714398569213,0.018590334157260798
66,3.871308658110533,0.017364695852008706
67,3.846765039884719,0.01677365249500998
68,3.823893652515572,0.016912283780129482
69,3.8023810655968013,0.016202993890849865
70,3.7824035300110572,0.015460718095188354
71,3.763510419391853,0.01443196780530252
72,3.745890843966201,0.014221452823591399
73,3.7290153771344516,0.014470562877791263
74,3.7128256811556586,0.01405390025215754
75,3.6970887423195027,0.013316618162946055
76,3.6818215582038953,0.01176573584657046
77,3.667070086073581,0.011520115878860163
78,3.652512366346932,0.011946947164141073
79,3.6383074033328056,0.012658731838558951
80,3.6245688074177145,0.014184295872432523
81,3.6112419271375353,0.014512643444435652
82,3.5985343627930195,0.014261488226426134
83,3.586440172718526,0.015400756738242144
84,3.5746485190673716,0.013727909459891961
85,3.5634735906928254,0.01217840566625238
86,3.5528333613136294,0.012472990588124375
87,3.5426084831008517,0.012295744131174971
88,3.532904053668852,0.012843476594867285
89,3.523449471148789,0.012002081007249811
90,3.514281826415669,0.009620391508283215
91,3.5056221096045594,0.009829205742269819
92,3.497238071886838,0.009621647542976154
93,3.489189769830457,0.0090779774905627
94,3.481366974563416,0.008407168965868269
95,3.4738453564836256,0.008398085768195703
96,3.4666592256798796,0.009309316398439673
97,3.4595926193861066,0.009171789461221727
98,3.452646864550646,0.007872300819140936
99,3.446015291945027,0.007832895695127557
100,3.439635587223331,0.007918471902510445
101,3.433444889189184,0.008069943956191178
102,3.427430733686845,0.007231829741064943
103,3.4215748472581087,0.0068350024555758095
104,3.415937572427703,0.006849828421673109
105,3.4104136204834354,0.006429992048145099
106,3.405057427228106,0.006332564892130558
107,3.39984731514442,0.006793365487206577
108,3.3947581174937858,0.00685817874098575
109,3.3897748369604512,0.006836430102455376
110,3.3849429127097084,0.00804961729165075
111,3.3803692752052124,0.011741249423469085
112,3.375913442508411,0.01399965864429391
113,3.371160187717042,0.008839512241881281
114,3.3667853654311806,0.008277056070768566
115,3.3625570018776667,0.007741252241863643
116,3.358470661134871,0.006235775514365421
117,3.3545251088121093,0.00695145461558021
118,3.3506377780291294,0.005593266797420441
119,3.346912995792171,0.005692651982081306
120,3.343275495434473,0.00594484448980485
121,3.3396735343257227,0.005363412019356484
122,3.336168775135497,0.0056794311507652505
123,3.33274449777221,0.006031980531825375
124,3.3293700055594857,0.0055708400983304675
125,3.326035846544361,0.005337481326513024
126,3.322774298881991,0.005522785257337373
127,3.3196022222423,0.005538482380930131
128,3.3165073482691114,0.005655439464459151
129,3.3134579939991102,0.006328640969718557
130,3.3104506922601793,0.005761512468132487
131,3.307489544095841,0.0048007276360588
132,3.304609629474837,0.005003200212879487
133,3.301812691944,0.004747865296561586
134,3.299067326439234,0.004312945764802939
135,3.296405432162063,0.004140789002666098
136,3.293799317754975,0.0039182018540063635
137,3.29126172342001,0.003976940719285083
138,3.2887606409253674,0.004032229388135211
139,3.2862699427401463,0.0037231434995553063
140,3.2838651158530316,0.003810367932606759
141,3.281477733260468,0.004077278950289137
142,3.27913343930324,0.004032762209326038
143,3.2768491715664076,0.004499395281770803
144,3.2746438670557643,0.005796443966445311
145,3.2724521946523586,0.006147745357602838
146,3.27027183503512,0.004416150234213363
147,3.26816127122723,0.004128003605130497
148,3.266112797947815,0.003887690872181439
149,3.2640912201930625,0.003760028363667175
150,3.2621047607829112,0.003880400835120271
151,3.2601693281446793,0.003848612094994923
152,3.2582487506204814,0.0038527244797368883
153,3.2563689559334814,0.003185101795681153
154,3.2545122703295957,0.003163264881449987
155,3.2527146938591796,0.0032974851868990346
156,3.2509407428280888,0.0031828359119374905
157,3.2491994208600774,0.0033361052089838964
158,3.247492815566474,0.003424151072476796
159,3.2458182642733275,0.003348591037953289
160,3.244172865853419,0.003245418209139195
161,3.2425576808273293,0.003433538630980928
162,3.2409729473269024,0.0034404801035898217
163,3.2394125413361254,0.0029603332988321295
164,3.237866897109548,0.0027238802062238337
165,3.236375680941791,0.002771616216086958
166,3.2349004839518707,0.0028236432895918746
167,3.233442784855871,0.0028986527784899976
168,3.2320096153994347,0.0028781577295546356
169,3.2305993422045196,0.0028551497960047547
170,3.2292171611307063,0.0026639130374487333
171,3.2278510859467398,0.0026130700807366946
172,3.2265059243242655,0.002668165631965397
173,3.2251760456002696,0.0028062984420443617
174,3.223867658172983,0.002583112334003401
175,3.2225778849808346,0.0025683512452261983
176,3.2213284102564153,0.002871210580891181
177,3.220088639779143,0.002993014308027069
178,3.218872438319016,0.0028796076770749098
179,3.2176780947747634,0.0026150644533911617
180,3.2164960888061116,0.00272695436526216
181,3.215331398428171,0.0026842082590166766
182,3.214178028435709,0.0024205447809818657
183,3.2130480324560704,0.002435489781943055
184,3.211934084322091,0.0024569482466569328
185,3.2108347255845624,0.0024168251889357096
186,3.209769902387293,0.0024689537113955287
187,3.208711889968242,0.0028498984411694395
188,3.207677470411043,0.003227711675490215
189,3.2066580760180603,0.0034355284389907563
190,3.2056658854863382,0.004077432601475214
191,3.204658779736852,0.003329738519633299
192,3.2036744855845423,0.0022527525961219073
193,3.2027198449682146,0.0026437793145271966
194,3.201772450159324,0.0024690850471647124
195,3.2008402019460407,0.002422585617030206
196,3.199922708334686,0.0025846520969212733
197,3.199010260230704,0.0027254393523990675
198,3.1981115815239574,0.0028041381563976174
199,3.1972216802796547,0.0026185418342270965
200,3.1963389730861618,0.0024378900394301218
201,3.195476301729575,0.002500578272191715
202,3.194627649910253,0.0026216157440603063
203,3.1937902275343735,0.002510227928604265
204,3.1929716296788495,0.0022279764417729177
205,3.1921640833401055,0.0020533793862488442
206,3.191376328623446,0.0023546272662477484
207,3.190588350337305,0.002368847917019997
208,3.189826600247387,0.0022126906209839516
209,3.189065328189297,0.002396019456502134
210,3.1883143628977666,0.0025548104488951153
211,3.1875783337193706,0.0029401858644555034
212,3.18685225409447,0.003519247684986708
213,3.1861098692391154,0.002609113723273154
214,3.185377436423459,0.002332302552810929
215,3.184667158676618,0.0027652894267543235
216,3.183953510217679,0.0019341737708707205
217,3.1832467752049993,0.0019467998110047006
218,3.18254702648757,0.0017452538326197047
219,3.1818692108893893,0.0019939155386104425
220,3.1811907887318345,0.0020924806269730233
221,3.1805233042397267,0.0017836084131360602
222,3.179864159795106,0.0015585182479108126
223,3.179216809785683,0.0017342353473679835
224,3.1785688416391062,0.001713024082027659
225,3.1779263051690556,0.0016704959270713463
226,3.1772938921079916,0.001586665815013831
227,3.176659812535455,0.0015487904535829461
228,3.1760352728215855,0.0015459430672580335
229,3.175422058671748,0.001665889067278515
230,3.1748114286708446,0.002106460175262819
231,3.174216270615795,0.0025476949149491135
232,3.1736190767060126,0.0022136121731522727
