feature,gain_importance
Torque [Nm],2698.222191505584
Rotational speed [rpm],1538.6465649878721
Tool wear [min],1528.070714318523
Air temperature [K],1205.2016765195665
Process temperature [K],711.8564675098432
Type,155.95563980628768
