PC,Feature index,Feature name,Loading,|Loading|
PC4,51,tGravityAcc-max()-Z,-0.14397125227141006,0.14397125227141006
PC4,42,tGravityAcc-mean()-Z,-0.14101802405630584,0.14101802405630584
PC4,560,"angle(Z,gravityMean)",0.13993541057585712,0.13993541057585712
PC4,54,tGravityAcc-min()-Z,-0.13621937653150235,0.13621937653150235
PC4,52,tGravityAcc-min()-X,0.12738852613907883,0.12738852613907883
PC4,40,tGravityAcc-mean()-X,0.12453127306522802,0.12453127306522802
PC4,296,fBodyAcc-skewness()-X,-0.12372373292748907,0.12372373292748907
PC4,297,fBodyAcc-kurtosis()-X,-0.12203328950790827,0.12203328950790827
PC4,56,tGravityAcc-energy()-X,0.12112125703590704,0.12112125703590704
PC4,49,tGravityAcc-max()-X,0.12007156844320421,0.12007156844320421
