threshold,fpr,tpr
inf,0,0
0.990748258579,0,0.0147058823529
0.983356570827,0,0.0294117647059
0.952396661283,0,0.0441176470588
0.947555272383,0,0.0588235294118
0.934773255959,0,0.0735294117647
0.930656660175,0,0.0882352941176
0.921502620309,0,0.102941176471
0.918575732495,0,0.117647058824
0.917889251085,0,0.132352941176
0.916217907173,0,0.147058823529
0.899784153136,0,0.161764705882
0.896236193348,0,0.176470588235
0.894571217926,0,0.191176470588
0.892102231331,0,0.205882352941
0.885215384457,0,0.220588235294
0.884955209218,0,0.235294117647
0.874366552604,0,0.25
0.868759727777,0,0.264705882353
0.865098973901,0,0.279411764706
0.864782487281,0,0.294117647059
0.850571993224,0,0.308823529412
0.845789774731,0,0.323529411765
0.845336163531,0,0.338235294118
0.826653131325,0,0.352941176471
0.823802979203,0,0.367647058824
0.81413969101,0,0.382352941176
0.813487552145,0,0.397058823529
0.811799544199,0,0.411764705882
0.797171029643,0,0.426470588235
0.791579768078,0,0.441176470588
0.781582938868,0,0.455882352941
0.779509824655,0,0.470588235294
0.766267890875,0,0.485294117647
0.710496557432,0,0.5
0.706866227022,0,0.514705882353
0.698200685297,0,0.529411764706
0.672012739447,0,0.544117647059
0.66665350845,0.000517598343685,0.544117647059
0.654773762339,0.000517598343685,0.558823529412
0.64203962171,0.000517598343685,0.573529411765
0.637904323595,0.000517598343685,0.588235294118
0.63757301374,0.00103519668737,0.588235294118
0.633664044524,0.00155279503106,0.588235294118
0.631959139508,0.00155279503106,0.602941176471
0.618308114688,0.00207039337474,0.602941176471
0.587547292852,0.00207039337474,0.617647058824
0.584117565505,0.00207039337474,0.632352941176
0.548434720618,0.00207039337474,0.647058823529
0.523660167648,0.00207039337474,0.661764705882
0.504939842158,0.00258799171843,0.661764705882
0.495566688119,0.00258799171843,0.676470588235
0.483784912862,0.00258799171843,0.691176470588
0.482046801473,0.00258799171843,0.705882352941
0.466536408164,0.00258799171843,0.720588235294
0.462550230931,0.00258799171843,0.735294117647
0.441938193364,0.00310559006211,0.735294117647
0.434887362583,0.0036231884058,0.735294117647
0.432403332377,0.00414078674948,0.735294117647
0.430998090072,0.00414078674948,0.75
0.428368654366,0.00465838509317,0.75
0.409410174789,0.00517598343685,0.75
0.38577832102,0.00569358178054,0.75
0.379236209996,0.00569358178054,0.764705882353
0.368031713936,0.00621118012422,0.764705882353
0.35910951134,0.00672877846791,0.764705882353
0.315906176131,0.00724637681159,0.764705882353
0.309924141022,0.00776397515528,0.764705882353
0.305688140382,0.00828157349896,0.764705882353
0.296204751452,0.00879917184265,0.764705882353
0.28378748655,0.00931677018634,0.764705882353
0.257384219683,0.00983436853002,0.764705882353
0.2546702879,0.00983436853002,0.779411764706
0.251003047104,0.0103519668737,0.779411764706
0.248723071717,0.0108695652174,0.779411764706
