original_index,TSNE_1,TSNE_2
2691,-7.537156759327955,-6.261534042550775
124,-1.2084421411196766,58.132251485295896
160,28.924486845760352,26.90545354078362
4124,-16.67265321136955,-31.277815997521845
2731,35.186432062736756,-3.2146158236916067
1103,-35.82469201539929,29.035703108588237
752,-19.146959794013792,-36.032225918120936
3504,8.899033229274153,-25.87980710020381
140,-38.33126362006859,-9.16366773109582
884,-38.11267277875002,-3.406164004965828
3844,15.202443680244095,10.004415564078057
1391,-30.04252891586834,-9.222170494667731
2113,-17.212917071738186,-29.881567159012082
1313,18.211879271138677,-14.94750010178601
4433,47.1734610240095,-6.462861572267231
5199,-11.331743733716722,-25.921555129635397
1662,12.962390536403218,-29.190307447323786
1563,-38.2123116065803,-6.966237862441526
3425,-3.466519205082216,56.90872023632141
4729,-49.120448810609034,-3.895754806859197
4662,-15.19167125610055,-25.559850971263725
860,-5.816203688350381,60.73306603748488
736,-42.2725535003364,-20.218259277389144
2014,-45.37965490756153,-15.113809581342478
3384,-0.3690199862311554,54.235803722879524
4451,52.20689690634187,-6.541728072745387
3996,39.476846723476,-4.081625833152508
841,-1.3241200441174423,46.1707797942255
354,-2.249026016621858,-38.51591009616916
1885,47.98330065375337,-7.19542642785391
3213,-7.116110397102534,57.35322013726379
4435,-13.309342221737934,-5.574699700217424
2077,18.267718577912156,4.665857901955825
1652,37.05031687900938,15.755760188474413
3637,-10.16000785586611,-32.8813537273344
4267,-31.76560571868486,29.45715140031562
905,-0.023340098320329707,-37.10641613605579
1017,-4.443480296828369,-45.57349413725602
5378,-9.221114018494998,54.58251396765478
3266,42.344990245684876,-7.957729321434777
1705,-9.002697185989012,-47.206834836228474
5244,-35.004543633757784,31.154831114291607
2780,35.25003657510775,19.032969601258806
5290,35.55240342601372,-1.3804738281846882
3002,-28.724166781160417,21.799632534322928
2602,38.261561177210424,18.214063278515905
2698,13.982961365726274,-19.221247335365657
4254,-9.702091592183526,-37.50192347374994
2967,-4.052824822192238,-40.3636375334104
1306,-2.2389765369940045,-43.19139657297044
795,21.345387151470824,28.282334894918883
323,26.19737345903577,26.980865754099028
1707,-15.918008509618492,-40.726522294477775
1718,-4.5249722293384655,50.34073209266011
1616,-3.085392802447231,-7.5560051154398336
4634,13.767093832467275,-17.8783051146081
879,11.7776751380213,-19.792988814976997
3661,11.866542865779957,-28.1476558959983
3397,33.575626218391164,21.244194073722394
3160,-0.8883700653126783,52.71150656174972
3108,16.245775244344493,-34.18106821675016
360,35.50319950447343,-0.08173116941083018
1815,10.022239352989644,-5.057483444049189
5422,-1.3690027240391955,11.175203790045606
3990,-5.359285306648239,-48.55567043810322
1369,14.654076508077972,-21.842818493762948
4596,-11.276247695216773,-8.620274537853216
3164,-7.099487179538702,-41.64309049400809
1032,-13.405890818917419,-27.906059060634636
713,4.013136856166655,14.346373294315438
615,21.71896558007153,21.420092832662355
4614,17.31844069587984,-14.769377490580677
2046,-39.38243858615932,-6.653976794328047
3019,-5.78053759580652,-2.2834126754261965
906,30.037508931962947,27.69143042495287
2047,16.557849648141115,-24.24085693354195
1234,-0.03682220328451408,-45.98113770402526
2187,15.727754315016158,9.96972074887476
5161,-41.12638049240446,-20.736241825990373
4842,43.35246451271719,1.8540086261710529
2801,31.795988063187583,22.42117119135894
1071,-3.4485829759330486,-40.487681608138914
552,15.418819736133827,8.395926533797036
1698,-19.059259449246564,-31.29618582963026
5059,3.2991955158827966,58.373273380995236
809,-9.876748378463356,-9.00528691765788
3253,-24.75180726945146,23.86990704918655
3894,16.37092181986332,-26.17053951891695
4940,1.743163873720438,3.474388686079509
3922,-1.8052807831217055,10.389641024209839
588,-9.166494393988657,-47.5436673687013
4663,32.67496018458597,25.814250142184687
1414,31.043861208267757,16.621017003506086
4183,-34.166035087507026,29.201813844168527
2321,0.5944189869138755,-46.397980982816655
150,-4.440016604291619,9.352220197033313
2313,-5.6463695853113105,-46.729588336552105
5257,1.8248037402810051,-38.13050518032048
1858,11.24291649687506,-3.959336881368951
4440,3.933743856755645,57.05148295810286
2990,-14.096662821860127,-31.851511683400012
3088,-2.080001262948962,-40.39505843044761
5408,1.9440051272411876,10.834971065985009
2725,23.340298446352573,4.009691632324298
514,14.793536459953271,-33.70093362929958
3089,-10.045757635192626,54.77413348870385
3074,-1.003278915632158,59.47980923415611
4442,-22.421123842002064,-35.74547489183327
3257,43.90558672039029,-9.45214662008417
3876,0.20796500606242152,0.15130020958448767
3433,36.722307859213906,-13.129712775070871
3396,-2.801288653759066,-4.826979331377761
1447,-2.306943924350576,-8.769680893161723
99,-44.84698581946187,-12.121574962681649
1067,-2.1444643266281784,52.99435839182662
4242,13.013244332128323,-26.743778846568414
3233,-6.693343214941801,50.285318306483134
2651,-4.1697680058650395,46.36744030432924
29,-4.428617789949153,-15.456015082960484
4280,13.10932933208385,-35.58072183196856
1446,36.39269064211235,-13.498874925165268
5123,-16.23211337835549,-32.807123254891266
2163,6.99576235019476,-41.540156144200346
3772,17.429946849489422,9.90055639900162
3704,9.130207879996602,-24.24843897940016
5458,51.48159193608579,-3.910427187413737
3489,-12.472746653676294,-34.9166388370968
2751,0.8610521129255936,6.881475417813876
1857,29.022343008621924,23.686205393844954
2361,-8.41706037511193,-28.418268441015307
2605,27.202005335293588,-3.049184959147656
71,-14.682334513624518,-27.89941210102243
3496,15.837617607260537,8.064432887200475
3303,-4.617800466950082,59.47432224745915
1335,4.400110940231493,13.848459534891195
4173,50.46722406786109,-9.578116989599366
3252,35.69189606456929,15.582045443872037
4367,-11.923447414808416,-6.95637237232775
5024,44.88893147503776,-6.149511219603224
4735,42.98613788311265,2.2337463157598276
3853,1.8467872875812246,56.58076649157154
2290,35.68201307998789,15.157478922033834
5551,50.18937177894983,-12.116657626036057
154,-11.465528147408996,-1.1303846236908803
4322,-40.64363428818867,-7.7016987248362305
3884,44.684156867521885,-0.3437506647854777
4415,-13.809920695213945,-5.2527617338626635
2035,28.696153760735506,27.573443916132714
4187,51.31346436018848,-10.786247463963857
5032,46.08021953589519,-5.125629978503219
3215,-18.78983154400727,-32.14750778807749
1715,-3.954045159675288,50.172984453483274
4130,-33.629096029285776,-5.524345500354709
