original_index,TSNE_1,TSNE_2
2691,-2.7974903361508647,-10.24555354283798
124,-14.97988223658582,45.47140424942192
160,33.91411398548371,1.0820108856631152
4124,-23.455454876485295,-4.093660078347374
2731,30.117341349958444,-24.53944122266278
1103,24.011720261803777,34.65392893412778
752,-30.386703924009147,-9.450314891287848
3504,-11.715126687123766,16.876762532385133
140,-14.296181484639723,-35.394939457034326
884,-11.194692916943403,-39.03274410659025
3844,15.354411979181386,-2.142733723706704
1391,-10.39139806000115,-29.823289983271128
2113,-21.99873286005878,-4.093555196007933
1313,1.5138672543498253,11.229121942519026
4433,22.17903550529855,-30.886203272986403
5199,-22.10742307603606,-11.635111885488419
1662,-12.065534868050916,13.915468446569015
1563,-13.227894338368175,-36.71975301251236
3425,-12.86734821050323,45.9471413319821
4729,-19.659642868950908,-44.18744086478597
4662,-24.18910219155691,-12.925042377429675
860,-13.372746115885203,41.555163887475224
736,-23.5322143582737,-30.24034703247148
2014,-22.444433920747937,-35.17604145684996
3384,-13.954490895396322,48.413658032384475
4451,20.761575791521253,-35.35703703399254
3996,27.25207268897892,-27.408274188238423
841,-10.022708897261959,53.941471344759236
354,-26.090203831337732,5.712941271018713
1885,21.48305422524515,-31.393265168046522
3213,-11.6863256412084,42.577179658391024
4435,-4.511878670827848,-3.3026747262823752
2077,13.760532689543018,3.0723164693012404
1652,35.00905658242919,-8.423841397915098
3637,-22.19522903651694,-8.747715008732794
4267,21.056492012610107,32.29184881255232
905,-25.77285603926157,8.120406120728813
1017,-30.546197797582728,8.47092222989028
5378,-7.796320925173126,44.507671872638745
3266,27.13336824749786,-31.315805042675077
1705,-30.33784019930759,12.89642270432817
5244,22.38849307670574,35.66401748645591
2780,33.46018898170376,-5.494678233348218
5290,29.19579587753857,-23.399014781893253
3002,22.52608931650611,26.314946297873323
2602,32.702272568605906,-8.199858997776923
2698,-3.959437376668882,10.505933429933155
4254,-27.772738890351416,-1.4098251466556557
2967,-28.256145636600703,3.993320199117734
1306,-28.560321456789488,5.651482623771932
795,32.72815989391717,7.502058532369084
323,32.95796762872084,3.412209325231812
1707,-24.40810109606824,-0.020268257957831284
1718,-9.481416682429995,49.393531916067914
1616,-5.478779331701253,-14.49223906336544
4634,-2.654039600034869,9.890244396651534
879,-5.126415254433549,14.005771329828042
3661,-11.341945818436335,11.975496667844459
3397,30.160518641029107,-4.276796947573558
