iteration,train_binary_logloss,validation_binary_logloss
1,0.13361032386245064,0.13710436264079692
2,0.12439971734668182,0.1284636118733085
3,0.11663720901870951,0.11977775162150556
4,0.1107332525292158,0.11450277236357868
5,0.10564276384572595,0.10868873827525846
6,0.10133720400760571,0.10484177177122198
7,0.09764016911219232,0.10143537822721112
8,0.09398504938952716,0.09738699324945756
9,0.09078840786441866,0.09373494947243129
10,0.0879480662375297,0.09071200357219841
11,0.08554875925878772,0.0882392734094249
12,0.08336954821703359,0.08633817970698052
13,0.08140490177765212,0.0846573117406363
14,0.07956112162641554,0.08310676492009512
15,0.0777374065697792,0.08108112023920944
16,0.07604443383162084,0.07995473959066422
17,0.0745145597320118,0.0780883763824214
18,0.07306007731514488,0.0765072869023789
19,0.07175331035500722,0.0750325051382669
20,0.07050743150514896,0.0741775921533586
21,0.06943828985743557,0.07321804184849202
22,0.06837587504757434,0.0723715368444101
23,0.06733765318557107,0.0716020546688769
24,0.0663675955644742,0.07102851301195127
25,0.06552893599444722,0.0701973913854988
26,0.06464776122887846,0.06908018078894447
27,0.0639170733053061,0.06851911643381428
28,0.06311381568701792,0.06806391047211485
29,0.06241738677492493,0.06751959077398433
30,0.06176972202212661,0.06694980450076043
31,0.06109068958094708,0.06649943005572057
32,0.06045759962574632,0.06601721099549998
33,0.05987387154048587,0.06576809711582918
34,0.059298076826293344,0.06544009243731032
35,0.058705117567368265,0.06511067951086077
36,0.05822678186462643,0.06474954522079236
37,0.05767357153627251,0.06427156723876394
38,0.05722768814776785,0.06396820497662795
39,0.056722630218749875,0.06369133434509103
40,0.05625567420106222,0.06338848071660667
41,0.05580525502755475,0.06312121569615588
42,0.05536661848438734,0.06277952349773049
43,0.055011146904190865,0.0625748143076516
44,0.05468039236745528,0.06256083421821203
45,0.05433826153621024,0.06236746367278395
46,0.05401354062470386,0.06221902007577709
47,0.05361490112988791,0.061965420236754595
48,0.053241090471792,0.061677297126181696
49,0.05294806111799398,0.06168471391513529
50,0.05261048430144893,0.06138811839001147
51,0.052256476874821586,0.061198922027013075
52,0.051936484574390825,0.06101776581109228
53,0.05160847321919913,0.06102656550443214
54,0.05131579594920031,0.06090219144437746
55,0.05102854276019059,0.06082155907389851
56,0.05075904017425743,0.06069027415984948
57,0.05051389573411757,0.06029758238966127
58,0.05025864526504399,0.060128044612295706
59,0.050018129203208334,0.05994878539847798
60,0.049774462880290915,0.059632400764016394
61,0.04952197968609003,0.05930966117532023
62,0.04930501512978311,0.059214202268978645
63,0.04903791361461705,0.058916865562351185
64,0.048767550973817735,0.05886388499719044
65,0.048550479989682406,0.05872020145675279
66,0.048341195473303386,0.05839394911948502
67,0.04810615626253397,0.05814280371859242
68,0.04791092960802592,0.05814587686889456
69,0.04767329942941993,0.05811416549081074
70,0.04746706034452138,0.05806292895478864
71,0.047278513539121596,0.05776206669788264
72,0.04712624381351359,0.05764051497352542
73,0.046907933353772434,0.057473821034920415
74,0.04670319958068956,0.057426929945925735
75,0.04652836011827662,0.057417567288210514
76,0.04634567474781108,0.05744425067460836
77,0.04618699474100395,0.05736844545484532
78,0.046012598827205604,0.05734058250495902
79,0.04582494885630383,0.05721313237343724
80,0.04567214476976827,0.05723795431747133
81,0.04551478993145108,0.05707513793178596
82,0.04534242651515895,0.05709084224213471
83,0.04517509519883694,0.05683587610250739
84,0.04503474098950343,0.05682715235638117
85,0.04489361607396573,0.056975009717397045
86,0.04473936680329307,0.05691460722033573
87,0.04460150693223398,0.05697684901913084
88,0.044442969232720966,0.05699300239504514
89,0.04427962401892091,0.05689256558597972
90,0.044164931136053937,0.05692025709378089
91,0.04402379755430692,0.05679442761333856
92,0.0438794740072737,0.05669094372935317
93,0.043756898003273134,0.05663904439298635
94,0.04353511719902325,0.056579895852251524
95,0.04339146975267953,0.056586991704635714
96,0.04325008168248803,0.05660715316975423
97,0.04313088119884101,0.05664976268576473
98,0.042972053023867016,0.05649344447718916
99,0.04284247415489797,0.05647827076086692
100,0.04273477056836321,0.05639661507705099
101,0.042632671255924466,0.056401413000511526
102,0.04245838206815583,0.056293956762491056
103,0.04234600080126373,0.05621356966952275
104,0.04222856580448862,0.05627533343736544
105,0.04209562107298366,0.056314648546154256
106,0.04195430220226576,0.05644359410241703
107,0.041853349911876794,0.05637195769024027
108,0.04173664881130962,0.05649992771568366
109,0.041586069581475225,0.056443524432312105
110,0.04147788196164428,0.05652840237342023
111,0.04133209699078215,0.056410403628193884
112,0.041217953208375076,0.05623372693548173
113,0.041135162769853344,0.056261235943179846
114,0.04101343638318362,0.05628369302998421
115,0.040884591039524916,0.056213118652576194
116,0.04076627171015522,0.05613058744391278
117,0.04062649626386487,0.055978681042104586
118,0.04052127214631808,0.05609050843926625
119,0.04041307640592546,0.05612305166963714
120,0.040315163161879566,0.056135616538112325
121,0.04022334839052133,0.05604017123944345
122,0.04009440162576394,0.05600375446456925
123,0.039992095310164254,0.056015213997921726
124,0.039890225434028065,0.05605415021155846
125,0.03974640975868507,0.05592271994487299
126,0.03962467020415063,0.055870204444277836
127,0.03952312203876224,0.055855321351205856
128,0.039368386723082606,0.05578562682758764
129,0.03927674507228548,0.055721490362336826
130,0.03919224564669896,0.0557224413010975
131,0.039105354660360296,0.05574401403956162
132,0.03902441668118389,0.055792989904566874
133,0.03891198753525384,0.055687969177827784
134,0.03880726017175097,0.05566506468418491
135,0.038713313762895586,0.055712095308333896
136,0.038599765489059294,0.0557990686004449
137,0.03850377351015683,0.055839280738276625
138,0.038394247181562965,0.055877500127316695
139,0.038302885257976406,0.05583965008871928
140,0.03819943581040926,0.055876703387644285
141,0.038053782191210306,0.055798167610014646
142,0.037964148040746375,0.055858389541753366
143,0.03787626334327838,0.05585516533857872
144,0.03775136775360167,0.055902344571623075
145,0.03767126415903575,0.055958681899639526
146,0.037589212789648774,0.05593865183702989
147,0.0375061423361758,0.055915231148545
148,0.03743031577614277,0.055937166146999145
149,0.03724809510386212,0.05598859134599729
150,0.037166985955912446,0.05605478178334903
151,0.03709779559928976,0.05601718189326156
152,0.03698434004336572,0.0561209612994183
153,0.036907339769333525,0.05623763306006308
154,0.03683642574122972,0.0561268094024371
155,0.03676279827118296,0.056166112236004324
156,0.03669134165101112,0.05618706705383765
157,0.03661690697443542,0.05611130392652301
158,0.03647237055725454,0.05611648998387218
159,0.03635184528755167,0.0561284467316083
