threshold,accuracy,precision,recall,f1,specificity,balanced_accuracy,roc_auc,pr_auc_average_precision,tn,fp,fn,tp
0.05,0.9373333333333334,0.34532374100719426,0.9411764705882353,0.5052631578947369,0.9371980676328503,0.9391872691105427,0.9769550332210201,0.7507411094275329,1358,91,3,48
0.06,0.948,0.3902439024390244,0.9411764705882353,0.5517241379310345,0.94824016563147,0.9447083181098526,0.9769550332210201,0.7507411094275329,1374,75,3,48
0.07,0.95,0.3983050847457627,0.9215686274509803,0.5562130177514792,0.9510006901311249,0.9362846587910526,0.9769550332210201,0.7507411094275329,1378,71,4,47
0.08,0.9513333333333334,0.4017857142857143,0.8823529411764706,0.5521472392638037,0.9537612146307799,0.9180570779036252,0.9769550332210201,0.7507411094275329,1382,67,6,45
0.09,0.9553333333333334,0.4230769230769231,0.8627450980392157,0.567741935483871,0.9585921325051759,0.9106686152721959,0.9769550332210201,0.7507411094275329,1389,60,7,44
0.09999999999999999,0.9566666666666667,0.43137254901960786,0.8627450980392157,0.5751633986928105,0.9599723947550034,0.9113587463971096,0.9769550332210201,0.7507411094275329,1391,58,7,44
0.10999999999999999,0.9566666666666667,0.43,0.8431372549019608,0.5695364238410596,0.9606625258799172,0.901899890390939,0.9769550332210201,0.7507411094275329,1392,57,8,43
0.12,0.958,0.4375,0.8235294117647058,0.5714285714285714,0.9627329192546584,0.8931311655096821,0.9769550332210201,0.7507411094275329,1395,54,9,42
0.13,0.9593333333333334,0.44680851063829785,0.8235294117647058,0.5793103448275861,0.9641131815044859,0.8938212966345959,0.9769550332210201,0.7507411094275329,1397,52,9,42
0.13999999999999999,0.962,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.9668737060041408,0.8952015588844233,0.9769550332210201,0.7507411094275329,1401,48,9,42
0.14999999999999997,0.962,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.9668737060041408,0.8952015588844233,0.9769550332210201,0.7507411094275329,1401,48,9,42
0.15999999999999998,0.9633333333333334,0.4772727272727273,0.8235294117647058,0.60431654676259,0.9682539682539683,0.895891690009337,0.9769550332210201,0.7507411094275329,1403,46,9,42
0.16999999999999998,0.9633333333333334,0.47674418604651164,0.803921568627451,0.5985401459854015,0.968944099378882,0.8864328340031665,0.9769550332210201,0.7507411094275329,1404,45,10,41
0.18,0.9646666666666667,0.4878048780487805,0.7843137254901961,0.6015037593984963,0.9710144927536232,0.8776641091219096,0.9769550332210201,0.7507411094275329,1407,42,11,40
0.19,0.966,0.5,0.7843137254901961,0.6106870229007634,0.9723947550034506,0.8783542402468234,0.9769550332210201,0.7507411094275329,1409,40,11,40
0.19999999999999996,0.966,0.5,0.7450980392156863,0.5984251968503937,0.9737750172532781,0.8594365282344822,0.9769550332210201,0.7507411094275329,1411,38,13,38
0.20999999999999996,0.968,0.5205479452054794,0.7450980392156863,0.6129032258064517,0.9758454106280193,0.8604717249218528,0.9769550332210201,0.7507411094275329,1414,35,13,38
0.21999999999999997,0.97,0.5441176470588235,0.7254901960784313,0.6218487394957983,0.9786059351276742,0.8520480656030528,0.9769550332210201,0.7507411094275329,1418,31,14,37
0.22999999999999998,0.9713333333333334,0.5606060606060606,0.7254901960784313,0.6324786324786323,0.9799861973775017,0.8527381967279666,0.9769550332210201,0.7507411094275329,1420,29,14,37
0.24,0.9733333333333334,0.5873015873015873,0.7254901960784313,0.6491228070175439,0.9820565907522429,0.8537733934153371,0.9769550332210201,0.7507411094275329,1423,26,14,37
0.24999999999999994,0.9733333333333334,0.5901639344262295,0.7058823529411765,0.6428571428571429,0.9827467218771566,0.8443145374091665,0.9769550332210201,0.7507411094275329,1424,25,15,36
